E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0042;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sameli                                            ;Sivonen                                           ;1;027;Vihreiden nuorten ja opiskelijoiden liiton puheenjohtaja, arkkitehtuurin ylioppilas                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0043;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Johanna                                           ;Sydänmaa                                          ;2;048;liikunnan ja terveystiedon opettaja, liikuntatieteiden maisteri                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0044;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Reetta                                            ;Vanhanen                                          ;2;028;lääkäri                                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;02;02;VIHR  ;GRÖNA ;GREEN ;0045;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ozan                                              ;Yanar                                             ;1;031;kansanedustaja, valtiotieteiden kandidaatti                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;98; ;1;1; ;EKV-2015  ;0004196;
E   ;01;***;V;****;HEL;HEL;35    ;14;03;03;KP    ;MP    ;KP    ;0046;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Juhani                                            ;Honkonen                                          ;1;035;insinööri, merkonomi                                                                                                                                                                                    ;853;Turku                                   ;Åbo                                     ;FI; ; ; ; ;EKV-2015  ;0000039;
E   ;01;***;V;****;HEL;HEL;38    ;18;04;03;SKE   ;SKE   ;SKE   ;0047;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Pekka                                             ;Kortelainen                                       ;1;042;järjestelmäasiantuntija                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;38    ;18;04;03;SKE   ;SKE   ;SKE   ;0048;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Tuukka                                            ;Pensala                                           ;1;025;fyysikko, ohjelmoija                                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;38    ;18;04;03;SKE   ;SKE   ;SKE   ;0049;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Matti                                             ;Mäkinen                                           ;1;065;linja-autonkuljettaja, eläkeläinen                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;38    ;18;04;03;SKE   ;SKE   ;SKE   ;0050;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Hannu (Miki)                                      ;Sileoni                                           ;1;048;vartija, päätoimittaja                                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;38    ;18;04;03;SKE   ;SKE   ;SKE   ;0051;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sakari                                            ;Romunen                                           ;1;066;insinööri                                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;38    ;18;04;03;SKE   ;SKE   ;SKE   ;0052;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sami                                              ;Salonen                                           ;1;049;eläkeläinen                                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;38    ;18;04;03;SKE   ;SKE   ;SKE   ;0053;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jari                                              ;Vento                                             ;1;055;myyntijohtaja                                                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;34    ;13;05;04;EOP   ;DRP   ;AJP   ;0054;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Santeri                                           ;Pienimäki                                         ;1;044;yrittäjä, filosofian maisteri                                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;34    ;13;05;04;EOP   ;DRP   ;AJP   ;0055;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jonna                                             ;Railio                                            ;2;031;eläinlääketieteen lisensiaatti                                                                                                                                                                          ;543;Nurmijärvi                              ;Nurmijärvi                              ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;34    ;13;05;04;EOP   ;DRP   ;AJP   ;0056;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Tarja                                             ;Simonen                                           ;2;055;pukusuunnittelija                                                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;36    ;15;06;04;FP    ;FP    ;FP    ;0057;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Katju                                             ;Aro                                               ;2;044;puolueen puheenjohtaja, graafinen suunnittelija                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;36    ;15;06;04;FP    ;FP    ;FP    ;0058;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Tuuli                                             ;Kamppila                                          ;2;031;kauppatieteiden maisteri                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;36    ;15;06;04;FP    ;FP    ;FP    ;0059;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Johannes                                          ;Koski                                             ;1;041;käyttöliittymäsuunnittelija                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;36    ;15;06;04;FP    ;FP    ;FP    ;0060;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Viima                                             ;Lampinen                                          ;2;036;yhdenvertaisuusasiantuntija                                                                                                                                                                             ;200;Reykjavik, Islanti                      ;Reykjavik, Islanti                      ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;36    ;15;06;04;FP    ;FP    ;FP    ;0061;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ossi                                              ;Nyman                                             ;1;040;kirjailija                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;36    ;15;06;04;FP    ;FP    ;FP    ;0062;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Elina                                             ;Sagne-Ollikainen                                  ;2;036;fysioterapeutti (YAMK)                                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;SV; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;36    ;15;06;04;FP    ;FP    ;FP    ;0063;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Emilia                                            ;Taskinen                                          ;2;023;opiskelija, liikennesuunnittelija                                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;12;07;04;PIR   ;PIR   ;PIR   ;0064;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ahto                                              ;Apajalahti                                        ;1;031;filosofian maisteri                                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000247;
E   ;01;***;V;****;HEL;HEL;30    ;12;07;04;PIR   ;PIR   ;PIR   ;0065;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ville                                             ;Hautakangas                                       ;1;041;tietotekniikkasuunnittelija                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000246;
E   ;01;***;V;****;HEL;HEL;30    ;12;07;04;PIR   ;PIR   ;PIR   ;0066;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Saga                                              ;Nyrén                                             ;2;030;tekniikan ylioppilas, tekninen projektipäällikkö                                                                                                                                                        ;235;Kauniainen                              ;Grankulla                               ;SV; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;12;07;04;PIR   ;PIR   ;PIR   ;0067;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Petrus                                            ;Pennanen                                          ;1;046;fysiikan tohtori, puolueen puheenjohtaja                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0001972;
E   ;01;***;V;****;HEL;HEL;30    ;12;07;04;PIR   ;PIR   ;PIR   ;0068;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Martin-Éric                                       ;Racine                                            ;1;049;                                                                                                                                                                                                        ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;12;07;04;PIR   ;PIR   ;PIR   ;0069;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Maija Li                                          ;Raudaskoski                                       ;2;024;filosofian ylioppilas, opiskelija                                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;30    ;12;07;04;PIR   ;PIR   ;PIR   ;0070;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jani                                              ;Somero                                            ;1;032;kokki                                                                                                                                                                                                   ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000101;
E   ;01;***;V;****;HEL;HEL;33    ;11;08;04;LIBE  ;LIBE  ;LIBE  ;0071;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Amos                                              ;Ahola                                             ;1;036;diplomi-insinööri, viestintäjohtaja                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000726;
E   ;01;***;V;****;HEL;HEL;33    ;11;08;04;LIBE  ;LIBE  ;LIBE  ;0072;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Leo                                               ;Bergman                                           ;1;029;diplomi-insinööri, liikkeenjohdon konsultti                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;11;08;04;LIBE  ;LIBE  ;LIBE  ;0073;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Marko                                             ;Kettunen                                          ;1;051;valtiotieteiden maisteri, yrittäjä                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;11;08;04;LIBE  ;LIBE  ;LIBE  ;0074;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Johanna                                           ;Vendelin                                          ;2;048;filosofian tohtori, lehtori                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;11;08;04;LIBE  ;LIBE  ;LIBE  ;0075;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Severi                                            ;Virolainen                                        ;1;054;arkkitehti, yrittäjä                                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;39    ;19;09;05;STL   ;STL   ;STL   ;0076;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Charan                                            ;Ailus                                             ;1;044;puuseppä                                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;39    ;19;09;05;STL   ;STL   ;STL   ;0077;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Barbara                                           ;Fagerström                                        ;2;051;yrittäjä                                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;39    ;19;09;05;STL   ;STL   ;STL   ;0078;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Peter                                             ;Fryckman                                          ;1;067;yrittäjä                                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000089;
E   ;01;***;V;****;HEL;HEL;39    ;19;09;05;STL   ;STL   ;STL   ;0079;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kari                                              ;Haapasalo                                         ;1;060;autonkuljettaja, yrittäjä                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
